id;placed_date;status;code
1;2019-10-01T15:05:31;CANCELLED;Soap Tasty Metal Sausages Outdoors
2;2019-10-01T23:26:08;PENDING;North Carolina Granite
3;2019-10-01T18:01:32;PENDING;Branding Dynamic black
4;2019-10-02T11:49:46;PENDING;Ergonomic Rubber Chicken
5;2019-10-02T05:25:01;COMPLETED;quantifying Garden
6;2019-10-01T17:56:50;CANCELLED;Solomon Islands Dollar
7;2019-10-02T05:08:03;CANCELLED;intermediate Table quantify
8;2019-10-01T18:07:49;COMPLETED;Robust Louisiana
9;2019-10-01T16:41:01;COMPLETED;compress Fantastic Global
10;2019-10-02T01:22:05;PENDING;Fantastic Small Frozen Salad bypassing
