id;tracking_code;date;details
1;global;2019-10-02T10:44:19;Moroccan Dirham
2;Springs connecting;2019-10-02T06:04:39;connecting Planner Refined
3;engage Granite Grocery;2019-10-01T19:20:27;Credit Card Account transmitter cyan
4;Checking Account;2019-10-01T13:55:59;Home Loan Account withdrawal
5;partnerships International;2019-10-02T05:06:21;Berkshire solid state
6;middleware Switzerland;2019-10-01T20:43:15;back-end Via indexing
7;Business-focused Canyon Orchestrator;2019-10-02T01:38:28;concept payment
8;robust;2019-10-02T00:34:11;Creek
9;Shirt Metal;2019-10-01T22:04:59;Chicken
10;e-business RSS;2019-10-02T01:05:54;Officer Savings Account Automated
